station,province,province_name,longitude,latitude
湖南卫视,湖南省,湖南,111.3113747,27.12030506
山东卫视,山东省,山东,120.3646774,37.05044556
浙江卫视,浙江省,浙江,120.6826248,29.30232048
江苏卫视,江苏省,江苏,120.5258636,32.94342804
山西卫视,山西省,山西,111.691,37.07433319
四川卫视,四川省,四川,100.7667809,30.52033806
黑龙江卫视,黑龙江省,黑龙江,127.6607285,48.36079788
重庆卫视,重庆市,重庆,108.3452835,29.44087601
江西卫视,江西省,江西,115.6213531,27.48257828
天津卫视,天津市,天津,117.5465393,39.57893372
北京卫视,北京市,北京,116.8466988,40.18947601
湖北卫视,湖北省,湖北,111.6126099,30.4751339
东方卫视,上海市,上海,121.4852295,31.44409561
安徽卫视,安徽省,安徽,117.1088829,32.43286514
广东卫视,广东省,广东,113.1163,23.96672
陕西卫视,陕西省,陕西,109.7051,35.54959
辽宁卫视,辽宁省,辽宁,123.3003,40.67584
宁夏卫视,宁夏回族自治区,宁夏,106.4125633,36.993536
吉林卫视,吉林省,吉林,127.1735001,42.60517883
云南卫视,云南省,云南,100.6946762,24.05585289
河北卫视,河北省,河北,116.1883,38.2677
贵州卫视,贵州省,贵州,107.5881577,27.29361916
广西卫视,广西壮族自治区,广西,108.4906235,23.81362
内蒙古卫视,内蒙古自治区,内蒙古,117.1311,45.00171
东南卫视,福建省,福建,118.5409393,25.46706009
河南卫视,河南省,河南,113.9677,34.22174835
甘肃卫视,甘肃省,甘肃,103.5632,36.19418907
新疆卫视,新疆维吾尔自治区,新疆,83.5396,43.27543259
青海卫视,青海省,青海,95.3602,35.19436
西藏卫视,西藏自治区,西藏,87.86101532,29.83316231
旅游卫视,海南省,海南,110.5047722,18.86226082
台湾卫视,台湾省,台湾,119.5551147,22.56028461
